地区,部门名称,用人司局,职位名称,招考人数,报考人数,过审人数,竞争比,访问人数
内蒙古,海关,阿拉善海关,海关监管四级主办及以下,1,27,27,27,93
辽宁,海关,大连港湾海关,查检一级行政执法员（一）,1,27,27,27,55
北京,中国民用航空局,财务司,机关财务处一级主任科员及以下,1,27,27,27,111
河北,税务局,国家税务总局迁安市税务局,一级行政执法员（二）,2,57,54,27,52
海南,税务局,国家税务总局三亚市崖州区税务局,一级行政执法员（一）,1,28,27,27,217
四川,税务局,国家税务总局威远县税务局,一级行政执法员（五）,1,28,27,27,64
四川,税务局,国家税务总局邻水县税务局,一级行政执法员（五）,1,27,27,27,47
四川,税务局,国家税务总局达州市达川区税务局,一级行政执法员（六）,1,27,27,27,61
四川,税务局,国家税务总局稻城县税务局,一级行政执法员（二）,1,27,27,27,25
广东,税务局,国家税务总局深圳市罗湖区税务局,一级行政执法员（四）,2,54,54,27,228
山东,税务局,国家税务总局青岛市城阳区税务局,一级行政执法员（五）,3,90,81,27,107
湖北,税务局,国家税务总局黄石市西塞山区税务局,一级行政执法员（二）,2,54,54,27,129
江苏,税务局,国家税务总局江阴市税务局,一级行政执法员（七）,2,55,54,27,108
浙江,税务局,国家税务总局绍兴市柯桥区税务局,一级行政执法员（八）,3,83,81,27,77
贵州,税务局,国家税务总局六枝特区税务局,一级行政执法员（一）,2,54,54,27,69
贵州,税务局,国家税务总局盘州市税务局,一级行政执法员（二）,2,68,54,27,50
云南,税务局,国家税务总局弥渡县税务局,一级行政执法员（一）,1,27,27,27,52
福建,厦门出入境边防检查总站,厦门出入境边防检查总站,高崎出入境边防检查站一级警长及以下（一）,3,83,81,27,139
浙江,浙江出入境边防检查总站,浙江出入境边防检查总站,马迹山边检站一级警长及以下（二）,1,27,27,27,27
北京,中国证券监督管理委员会,证券基金机构监管部,综合处一级主任科员及以下,1,28,27,27,159
河南,消防,消防,节约保护局节水管理处一级主任科员及以下,1,52,27,27,112
山东,消防,淄博黄河河务局高青黄河河务局,水政水资源科一级主任科员及以下,1,27,27,27,84
河南,消防,豫西黄河河务局孟津黄河河务局,水政水资源科一级主任科员及以下,1,30,27,27,83
陕西,消防,黄河水利委员会黄河上中游管理局,水政水资源与河湖处（水政监察总队）一级主任科员及以下,1,27,27,27,140
四川,四川省气象局,四川省达州市气象局,业务科（法制科）一级科员及以下,1,27,27,27,30
安徽,监管局,亳州银保监分局,综合部门一级主任科员及以下,1,28,27,27,73
河南,监管局,三门峡银保监分局,法规部门一级主任科员及以下,1,27,27,27,32
广东,监管局,梅州银保监分局,综合部门一级主任科员及以下,1,27,27,27,63
四川,监管局,阿坝银保监分局九寨沟监管组,监管部门一级主任科员及以下,1,27,27,27,32
广东,海关,天河海关,动物检疫四级主办及以下,1,27,27,27,144
四川,海关,成都双流机场海关,卫生检疫一级行政执法员（二）,1,27,27,27,111
山东,公安局,济南铁路公安局,青岛铁路公安处车站派出所民警,1,36,27,27,68
广东,私局,拱北海关缉私局,湾仔海关缉私分局一级警长及以下,3,81,81,27,162
山东,海事局,董家口海事局,董家口海事局一级行政执法员（一）,1,28,27,27,67
山东,税务局,国家税务总局枣庄市山亭区税务局,一级行政执法员（一）,3,88,81,27,88
河南,税务局,国家税务总局漯河市郾城区税务局,一级行政执法员（二）,2,59,54,27,48
辽宁,税务局,国家税务总局宽甸满族自治县税务局,一级行政执法员（一）,3,81,81,27,120
江苏,税务局,国家税务总局泰兴市税务局,一级行政执法员（六）,2,57,54,27,96
江苏,税务局,国家税务总局苏州工业园区税务局第一税务所,一级行政执法员（二）,3,81,81,27,86
安徽,税务局,国家税务总局芜湖市鸠江区税务局,一级行政执法员（一）,2,60,54,27,103
北京,税务局,国家税务总局北京市延庆区税务局,一级行政执法员（二）,3,102,81,27,184
北京,审计署,电子数据审计司,业务处室一级主任科员及以下,1,27,27,27,169
广东,税务局,国家税务总局汕头市潮南区税务局,一级行政执法员（一）,4,109,108,27,72
广东,税务局,国家税务总局四会市税务局,一级行政执法员,4,110,108,27,64
