地区,部门名称,用人司局,职位名称,招考人数,报考人数,过审人数,竞争比,访问人数
上海,税务局,国家税务总局上海市浦东新区税务局,一级行政执法员（二）,8,197,196,24.5,271
上海,税务局,国家税务总局上海市浦东新区税务局,一级行政执法员（六）,8,241,240,30,366
上海,税务局,国家税务总局上海市浦东新区税务局,一级行政执法员（十）,8,173,168,21,341
上海,税务局,国家税务总局上海市浦东新区税务局,一级行政执法员（十二）,8,323,322,40.25,553
广东,深圳出入境边防检查总站,深圳出入境边防检查总站,边检站一级警长及以下（六）,8,104,104,13,187
广东,深圳出入境边防检查总站,深圳出入境边防检查总站,边检站一级警长及以下（九）,8,101,92,11.5,326
北京,应急管理部,国家安全生产应急救援中心,安全生产应急救援业务处室一级主任科员及以下,8,947,947,118.38,515
湖南,监管局,湖南银保监局,监管部门一级主任科员及以下,8,586,444,55.5,372
北京,最高人民法院,审判部门,法官助理职位一级法官助理及以下,7,387,387,55.29,812
辽宁,公安局,沈阳铁路公安局,锦州铁路公安处线路警务区民警,7,14,7,1,137
吉林,公安局,沈阳铁路公安局,长春铁路公安处车站派出所民警,7,51,51,7.29,306
湖北,海事局,三峡海事局,三峡海事局一级行政执法员（一）,7,40,36,5.14,166
天津,消防,天津消防救援总队所属消防救援支队,天津市消防救援总队所属支队管理指挥岗位,7,35,31,4.43,1343
广西,消防,广西消防救援总队所属消防救援支队,广西壮族自治区消防救援总队所属支队管理指挥岗位,7,41,37,5.29,673
甘肃,消防,甘肃消防救援总队所属消防救援支队,甘肃省消防救援总队所属支队管理指挥岗位,7,38,30,4.29,516
内蒙古,消防,内蒙古森林消防总队所属森林消防支队,内蒙古自治区森林消防总队大兴安岭支队管理指挥岗位,7,85,78,11.14,209
黑龙江,消防,黑龙江森林消防总队所属森林消防支队（含直升机支队）,黑龙江省森林消防总队伊春市支队管理指挥岗位,7,90,86,12.29,175
浙江,海关,隶属海关,卫生检疫四级主办及以下,7,161,145,20.71,438
江苏,监管局,徐州银保监分局,监管部门一级主任科员及以下,7,151,114,16.29,505
北京,商务部,政策研究室等,一级主任科员及以下（英语一）,7,359,353,50.43,725
河北,公安局,北京铁路公安局,北京铁路公安处车站派出所民警,7,63,59,8.43,278
江苏,消防,江苏省消防救援总队,江苏省消防救援总队所属支队管理指挥岗位,7,40,37,5.29,1905
内蒙古,消防,内蒙古森林消防总队所属森林消防支队,内蒙古自治区森林消防总队兴安盟支队管理指挥岗位,7,96,90,12.86,140
福建,海关,隶属海关,海关业务管理二级主办及以下,7,9,9,1.29,129
广东,海关,隶属海关,卫生检疫四级主办及以下（一）,7,195,191,27.29,181
上海,税务局,国家税务总局上海市浦东新区税务局,一级行政执法员（三）,7,183,181,25.86,457
上海,税务局,国家税务总局上海市浦东新区税务局,一级行政执法员（四）,7,497,497,71,420
新疆,新疆出入境边防检查总站,新疆出入境边防检查总站,克州边境管理支队一级警长及以下（四）,7,57,18,2.57,292
北京,国家知识产权局,材料工程发明审查部,环境工程处/通用工程处/结构工程处一级主任科员及以下,7,807,804,114.86,381
内蒙古,监管局,乌兰察布银保监分局,监管部门一级主任科员及以下,7,109,108,15.43,93
内蒙古,监管局,鄂尔多斯银保监分局,监管部门一级主任科员及以下,7,103,99,14.14,78
重庆,监管局,重庆银保监局,监管部门一级主任科员及以下,7,523,495,70.71,417
北京,最高人民法院,综合部门,综合文字职位一级主任科员及以下,7,335,334,47.71,564
云南,消防,森林消防局昆明航空救援支队,应急管理部森林消防局昆明航空救援支队所属基层单位管理指挥岗位,7,54,52,7.43,132
湖南,消防,湖南消防救援总队所属消防救援支队,湖南省消防救援总队所属支队管理指挥岗位,7,29,28,4,990
四川,消防,四川消防救援总队所属消防救援支队,四川消防救援总队甘孜州支队管理指挥岗位,7,171,166,23.71,224
广东,海关,隶属海关,卫生检疫四级主办及以下（二）,7,2011,2007,286.71,815
上海,税务局,国家税务总局上海市浦东新区税务局,一级行政执法员（八）,7,3032,2670,381.43,1049
四川,税务局,国家税务总局成都高新技术产业开发区税务局,一级主办及以下（三）,7,259,255,36.43,523
青海,监管局,海西银保监分局,监管部门一级主任科员及以下,7,96,79,11.29,0
新疆,监管局,塔城银保监分局,监管部门一级主任科员及以下,7,45,18,2.57,0
新疆,监管局,阿勒泰银保监分局,监管部门一级主任科员及以下,7,46,29,4.14,0
北京,外交部,行政司,建筑学,6,599,566,94.33,467
河北,公安局,北京铁路公安局,北京铁路公安处车站派出所民警,6,34,25,4.17,291
内蒙古,公安局,呼和浩特铁路公安局,呼和浩特铁路公安处线路警务区民警,6,13,12,2,145
上海,公安局,上海铁路公安局,上海铁路公安处线路警务区民警,6,24,19,3.17,585
上海,公安局,上海铁路公安局,上海铁路公安处线路警务区民警,6,39,21,3.5,632
江苏,公安局,上海铁路公安局,徐州铁路公安处线路警务区民警,6,17,15,2.5,511
广东,公安局,广州铁路公安局,深圳铁路公安处线路警务区民警,6,52,41,6.83,172
贵州,公安局,成都铁路公安局,贵阳铁路公安处线路警务区民警,6,112,112,18.67,218
湖北,海事局,武汉海事局,武汉海事局一级行政执法员（二）,6,24,24,4,165
上海,消防,上海消防救援总队所属消防救援支队,上海市消防救援总队所属支队管理指挥岗位,6,35,29,4.83,1005
江西,消防,江西消防救援总队所属消防救援支队,江西省消防救援总队赣州市支队管理指挥岗位,6,310,224,37.33,397
天津,审计署京津冀特派员办事处,审计署京津冀特派员办事处,审计业务处一级主任科员及以下,6,118,117,19.5,439
甘肃,审计署驻兰州特派员办事处,审计署驻兰州特派员办事处,审计业务处一级主任科员及以下,6,61,59,9.83,260
北京,海关,首都机场海关,监管工作四级主办及以下（三）,6,265,264,44,235
北京,海关,首都机场海关,税收征管工作四级主办及以下,6,296,293,48.83,911
上海,海关,隶属海关,物控查检四级主办及以下,6,22,20,3.33,691
广西,税务局,国家税务总局鹿寨县税务局,一级行政执法员（一）,6,30,30,5,64
广西,税务局,国家税务总局鹿寨县税务局,一级行政执法员（二）,6,59,56,9.33,57
广西,税务局,国家税务总局容县税务局,一级行政执法员（一）,6,31,29,4.83,70
广西,税务局,国家税务总局兴业县税务局,一级行政执法员（二）,6,53,47,7.83,40
四川,税务局,国家税务总局成都高新技术产业开发区税务局,一级主办及以下（一）,6,127,124,20.67,386
广东,深圳出入境边防检查总站,深圳出入境边防检查总站,边检站一级警长及以下（十）,6,34,30,5,529
云南,云南出入境边防检查总站,云南出入境边防检查总站,文山边境管理支队一级警长及以下（一）,6,181,146,24.33,194
云南,云南出入境边防检查总站,云南出入境边防检查总站,德宏边境管理支队一级警长及以下（八）,6,36,34,5.67,113
新疆,新疆出入境边防检查总站,新疆出入境边防检查总站,塔城边境管理支队一级警长及以下（八）,6,95,78,13,635
新疆,新疆出入境边防检查总站,新疆出入境边防检查总站,塔城边境管理支队一级警长及以下（十一）,6,226,160,26.67,440
吉林,国家移民管理局长春遣返中心,国家移民管理局长春遣返中心,图们遣返站一级警长及以下（二）,6,84,75,12.5,148
北京,应急管理部,应急管理部矿山救援中心,矿山救援业务处室一级主任科员及以下,6,325,325,54.17,150
上海,监管局,上海银保监局,监管部门一级主任科员及以下,6,74,73,12.17,175
上海,监管局,上海银保监局,监管部门一级主任科员及以下,6,91,90,15,177
重庆,监管局,江津银保监分局,监管部门一级主任科员及以下,6,81,81,13.5,138
新疆,监管局,伊犁银保监分局辖内监管组,监管部门一级主任科员及以下,6,55,39,6.5,0
新疆,监管局,和田银保监分局,监管部门一级主任科员及以下,6,159,133,22.17,0
广东,监管局,深圳银保监局,监管部门一级主任科员及以下,6,307,256,42.67,0
北京,中央社会主义学院,中央社会主义学院办公室,秘书处一级主任科员及以下,6,1449,1444,240.67,725
北京,外交部,行政司,工程管理,6,386,318,53,338
辽宁,公安局,沈阳铁路公安局,锦州铁路公安处线路警务区民警,6,22,15,2.5,134
辽宁,公安局,沈阳铁路公安局,锦州铁路公安处线路警务区民警,6,19,19,3.17,65
辽宁,公安局,沈阳铁路公安局,锦州铁路公安处车站派出所民警,6,66,61,10.17,132
辽宁,公安局,沈阳铁路公安局,锦州铁路公安处线路警务区民警,6,41,35,5.83,139
内蒙古,公安局,沈阳铁路公安局,通辽铁路公安处车站派出所民警,6,15,13,2.17,145
北京,公安局,北京铁路公安局,北京铁路公安处车站派出所民警,6,12,11,1.83,290
河北,公安局,北京铁路公安局,北京铁路公安处线路警务区民警,6,118,110,18.33,285
北京,公安局,北京铁路公安局,北京铁路公安处车站派出所民警,6,36,34,5.67,325
河北,公安局,北京铁路公安局,石家庄铁路公安处线路警务区民警,6,1,1,0.17,425
内蒙古,公安局,呼和浩特铁路公安局,呼和浩特铁路公安处线路警务区民警,6,11,11,1.83,128
湖北,公安局,武汉铁路公安局,襄阳铁路公安处线路警务区民警,6,2,2,0.33,231
陕西,公安局,西安铁路公安局,延安铁路公安处线路警务区民警,6,26,24,4,203
上海,公安局,上海铁路公安局,上海铁路公安处线路警务区民警,6,113,78,13,365
广东,公安局,广州铁路公安局,深圳铁路公安处线路警务区民警,6,21,17,2.83,592
上海,海事局,吴淞海事局,吴淞海事局一级行政执法员（二）,6,26,26,4.33,78
天津,审计署京津冀特派员办事处,审计署京津冀特派员办事处,审计业务处一级主任科员及以下,6,201,201,33.5,648
河北,海关,隶属海关,海关业务二级主办及以下,6,7,7,1.17,193
黑龙江,海关,隶属海关,海关业务二级主办及以下,6,7,7,1.17,146
广西,税务局,国家税务总局容县税务局,一级行政执法员（二）,6,53,49,8.17,57
广西,税务局,国家税务总局兴业县税务局,一级行政执法员（一）,6,28,27,4.5,56
云南,云南出入境边防检查总站,云南出入境边防检查总站,德宏边境管理支队一级警长及以下（一）,6,168,136,22.67,115
新疆,新疆出入境边防检查总站,新疆出入境边防检查总站,塔城边境管理支队一级警长及以下（九）,6,325,283,47.17,491
新疆,新疆出入境边防检查总站,新疆出入境边防检查总站,塔城边境管理支队一级警长及以下（十）,6,462,351,58.5,373
新疆,新疆出入境边防检查总站,新疆出入境边防检查总站,克州边境管理支队一级警长及以下（五）,6,121,93,15.5,560
北京,国家知识产权局,化学发明审查部,高分子领域一级主任科员及以下,6,305,218,36.33,219
辽宁,监管局,辽宁银保监局,监管部门一级主任科员及以下,6,494,493,82.17,165
上海,监管局,上海银保监局,监管部门一级主任科员及以下,6,102,102,17,219
浙江,监管局,温州银保监分局,监管部门一级主任科员及以下,6,105,104,17.33,166
重庆,监管局,重庆银保监局,统计信息部门一级主任科员及以下,6,143,119,19.83,230
北京,监管局,中国证券监督管理委员会北京监管局,辖区会计类监管岗位一级主任科员及以下,6,40,38,6.33,0
北京,外交部,地区业务司,英语八,6,211,178,29.67,526
北京,外交部,地区业务司,俄语,6,155,155,25.83,155
辽宁,公安局,沈阳铁路公安局,锦州铁路公安处线路警务区民警,6,50,29,4.83,192
辽宁,公安局,沈阳铁路公安局,锦州铁路公安处线路警务区民警,6,5,3,0.5,222
河北,公安局,北京铁路公安局,天津铁路公安处线路警务区民警,6,1,1,0.17,482
